username, created_at, lng, lat, text
HamsterRj, Wed Jan 27 01:48:56 +0000 2021, -111.560519, 33.198235, Hollywood Elite in COVID-19 Vaccine Scramble: ‘It’s the Hunger Games Out There’ from https://t.co/HxTEnv1D2Z… https://t.co/ECjpIvbJy4 
YouAintSlickk_, Wed Jan 27 01:49:24 +0000 2021, -84.433106, 33.767195, FUCK NO 
JoanLaundy, Wed Jan 27 01:49:37 +0000 2021, -117.154269, 46.730822, September 
Minne_miraaa, Wed Jan 27 01:49:59 +0000 2021, -77.014398, 38.898603, @CityPretzelDC Wow you really just dense dumb &amp; stupid huh? 1 ImDC born &amp; raised so move on. 2 reading is fundament… https://t.co/JHchEDxmj9 
Mallick1962, Wed Jan 27 01:50:22 +0000 2021, 72.874244, 19.174140, "Serum Institute looking at bilateral deals to supply Covishield vaccine https://t.co/6PxrJ27Oi0 
RamaSinghania, Wed Jan 27 01:50:34 +0000 2021, 55.551172, 24.993462, #DubaiCovid19precautions even after vaccination. Doing it's best to get back to normalcyVaccine doesn’t mean no p… https://t.co/fwCaddJYm2 
CindyNapkins, Wed Jan 27 01:51:14 +0000 2021, -74.184848, 40.734494, I finally got both #COVID19 vaccine appointments! Thank you @GovMurphy ! 🙏🎉 https://t.co/sxApXUfGUx 
LorenzoWard7DC, Wed Jan 27 01:51:25 +0000 2021, -77.014398, 38.898603, This is not the best way to distribute this vaccine. A mad rush to open back up seems to put more people at risk. 
TyphoidMary7, Wed Jan 27 01:51:56 +0000 2021, 138.611160, -35.000767, @ScottMorrisonMP wastes $ millions on a 2nd Grade PowerPoint presentation to convince Aussies the #PfizerVaccine is… https://t.co/FfPwe4AfIT 
kenyaw, Wed Jan 27 01:52:02 +0000 2021, -122.362414, 37.948843, CA residents can Register now! https://t.co/yE1EVZw1lh #COVID19 
Canadivan, Wed Jan 27 01:52:11 +0000 2021, -97.152676, 49.853805, Awesome! Canada may have a vaccine by mid-2022 then! #cdnpoli @PnPCBC @VassyKapelos 
emilyclemandot, Wed Jan 27 01:52:32 +0000 2021, -98.520057, 33.926420, i’m 23 &amp; got the vaccine because i’m immunocompromised.... idk where this info is coming from 
BillPounder, Wed Jan 27 01:52:45 +0000 2021, 150.931975, -33.848244, @Bowenchris Info Bozo overload.https://t.co/93SrYuvDpg 
PA_Capitol_Boy, Wed Jan 27 01:53:07 +0000 2021, -77.604684, 41.117936, This entire thread makes me shift between feelings of rage and depression. The lack of competency is just infuria… https://t.co/5TEimLPzQl 
crickettwilder, Wed Jan 27 01:53:20 +0000 2021, -139.382799, 64.056794, Mähsi cho Nurse Doris for my first dose of covid vaccine!#ThisIsOurShot #TrondëkHwëchinTerritory https://t.co/WyycawayVi 
tessablavergne, Wed Jan 27 01:53:32 +0000 2021, -122.230474, 47.221013, Both of my parents got their first dose of the COVID vaccine today. ❤️❤️❤️ Super happy for them, relieved, and al… https://t.co/JGKJ0vJt7b 
crickettwilder, Wed Jan 27 01:53:49 +0000 2021, -139.382799, 64.056794, And Yukoners truly hate waiting in line. Any line... 
gbarone2, Wed Jan 27 01:54:06 +0000 2021, -79.820465, 43.381396, @jkwan_md He has to say something after bragging for months how Canada lead the world on vaccine doses ordered now… https://t.co/18YjFO7oNb 
wilsonblades70, Wed Jan 27 01:54:21 +0000 2021, -1.449612, 53.383164, @UAZ1203 @dazthevillan What the whole population may die of it..? 99%+ won't. Just vaccine the vulnerable, its just that simple really. 
ElementoLab, Wed Jan 27 01:54:35 +0000 2021, -73.968542, 40.780709, Watched this live on NIH TV - she went on to talk about importance of NIH funded research and how her mother would… https://t.co/x6Ya2XtYSb 
phyllisjeanneB1, Wed Jan 27 01:54:42 +0000 2021, -80.846785, 35.209059, @washingtonpost We wouldn’t be in this shortage mess if Trump ordered more vaccine for Pfizer when offered but he d… https://t.co/OzIseBfqI7 
Lisa_C_Levine, Wed Jan 27 01:54:47 +0000 2021, -115.128846, 36.136412, Good news 👏 
delterrykilgore, Wed Jan 27 01:55:16 +0000 2021, -79.420865, 38.003376, Proud to join @IsraelOQuinn to support this common sense approach to vaccine distribution! We must get this vaccine… https://t.co/4lPhxq5Hsn 
tabnlu, Wed Jan 27 01:55:26 +0000 2021, -100.076888, 31.168893, @GovAbbott Texas teachers need to receive the vaccine and should not have been bumped. We are on the battlefield daily! 
kmcooke14, Wed Jan 27 01:55:33 +0000 2021, -111.931711, 34.168253, @mkhammer As Fairfax County School District did - and they jumped the vaccine line in front of seniors.  #SchoolChoice 
balalaichnitsa, Wed Jan 27 01:55:47 +0000 2021, 66.903878, 48.189453, We could be heading towards a kind of vaccine war, where who is vaccinated or not, and with what, substantially affects their lives /End 
TevinsAGenius, Wed Jan 27 01:55:48 +0000 2021, -122.455344, 47.242960, You completely justified if you scared of both COVID and the vaccine but if you out here raw dogging the air every… https://t.co/LwOCo7lt1s 
TheEliKlein, Wed Jan 27 01:55:52 +0000 2021, -73.968542, 40.780709, @GYamey Agreed! You should co-sign and amplify my pledge, which would help the world get to herd immunity quicker.… https://t.co/ziszchhl2X 
wtsanders, Wed Jan 27 01:55:54 +0000 2021, -87.035942, 35.201735, @almostdr_obrien I get my 2nd Pfizer vaccine tomorrow. Really hoping to get the ability to teleport. Morning commutes would be a breeze. 😂😂😂 
jenIynn, Wed Jan 27 01:55:56 +0000 2021, -83.804475, 27.698682, they released another day to get the vaccine but it’s TOMORROW in DAYTONA i’m so mad 
katehinds, Wed Jan 27 01:56:15 +0000 2021, -73.968542, 40.780709, “White people received about five times as much vaccine, while making up 42% of the overall population. About 40% o… https://t.co/E8Zy7eccw7 
io_clark, Wed Jan 27 01:56:38 +0000 2021, -77.286756, 44.902110, "Vaccine hesitancy for Black, Indigenous people comes with a history"  https://t.co/wHCeeiHly4 
JC_Christianson, Wed Jan 27 01:57:28 +0000 2021, -86.791549, 36.200008, About time us childless uncles get our due! 
jspence32208074, Wed Jan 27 01:57:31 +0000 2021, -76.498908, 45.083891, @erinotoole O’Toole shouldn’t criticize the Liberals talking up a spring election-he should challenge them to do it… https://t.co/fUJbmuB0KT 
Eramos503, Wed Jan 27 01:57:59 +0000 2021, -73.949405, 40.745863, This people 
elayned_, Wed Jan 27 01:58:33 +0000 2021, -75.371043, 39.900459, Rest up@StephenNP. Lots of vaccine - naive arms in need. Making me nervous (still resolute)#nursesVaccinateAmerica 
baritonekeith, Wed Jan 27 01:59:03 +0000 2021, -79.272570, 43.629311, I know this will be me 
WineJerk, Wed Jan 27 01:59:06 +0000 2021, -122.228685, 37.791994, Gimme that vaccine so i can get the hell out of this country. 
HamsterRj, Wed Jan 27 01:59:22 +0000 2021, -111.560519, 33.198235, Budweiser won't air Super Bowl ads, will use funds for COVID vaccine support instead from https://t.co/HxTEnv1D2Z… https://t.co/wqS1MvTLwK 
PirateMike911, Wed Jan 27 01:59:46 +0000 2021, -81.249127, 43.005575, @cristina_CP24 Trudeau is just distracting us from his negligent vaccine procurement 
brown914, Wed Jan 27 01:59:50 +0000 2021, -119.034349, 34.225328, Share 👇🏽 
Gjkalisz, Wed Jan 27 02:00:12 +0000 2021, -77.014398, 38.898603, Say it with me, give pharmacies the vaccine to distribute!!! 
JohnNyetrae, Wed Jan 27 02:00:25 +0000 2021, -112.124676, 33.552863, @Marina_Sirtis Marina, forget the idiots. You, like me, qualified for the vaccine. Good lord. I'm happy for you, yo… https://t.co/lw79t4FNJi 
PUSSYRlOT, Wed Jan 27 02:00:28 +0000 2021, -122.330602, 47.614817, Ngl..... people who still go to work and don’t have the privilege to work from home and those who are compromised s… https://t.co/7gF9S6ew0V 
Dsquared75, Wed Jan 27 02:00:30 +0000 2021, -77.101999, 38.880845, #HighRiskCA 
MarkLenihan61, Wed Jan 27 02:00:53 +0000 2021, -97.013513, 42.237147, @VP @NIH I'll wait my turn. I'm a healthy 55 year old male and I know there are many more people who want and proba… https://t.co/08tdukSWaA 
GregPer08601563, Wed Jan 27 02:01:01 +0000 2021, -96.971210, 37.695454, @seanhannity What about Senator Marshall from Kansas who never wore a mask while campaigning and yet already has re… https://t.co/FCZX2HSwPL 
YuriyATL404, Wed Jan 27 02:01:13 +0000 2021, -115.135165, 36.060964, We already can travel but I definitely agree with you here when it comes to more international travel for sure. 
mariafritzie, Wed Jan 27 02:01:19 +0000 2021, -119.782465, 36.786042, Had my covid vaccine. 
GuillermoxF, Wed Jan 27 02:01:21 +0000 2021, -84.557899, 42.712049, There’s a quote from me in this article: 
Shirazlatiff, Wed Jan 27 02:01:26 +0000 2021, 80.764654, 7.878661, https://t.co/LHuGLvhF8H sadly these ministers are too slow to act and cannot keep up with the pace @GotabayaR expec… https://t.co/iMgqaNCRRI 
missy92_2000, Wed Jan 27 02:01:42 +0000 2021, -86.680738, 32.576227, @ALcomMobile There are people with health risks that have been advised no to take the vaccine until more informatio… https://t.co/cdaI9cMJKI 
docproctor37, Wed Jan 27 02:01:52 +0000 2021, -81.705467, 41.495940, @cow_belle65 @GovMikeDeWine @OHdeptofhealth Both my parents are in a nursing home and both got covid, which thankfu… https://t.co/VCOWaBb7c9 
